date,region,ticket_category,complaint_tickets,total_tickets,shipped_orders_hint,customer_email,ticket_body,ingested_at
2026-01-01,North,late_delivery,4,4,678,cust337@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-01T23:45:00+05:30
2026-01-01,North,damaged_item,2,2,678,cust990@example.com,damaged item issue reported,2026-01-01T23:45:00+05:30
2026-01-01,North,billing,0,0,678,cust623@example.com,billing issue reported,2026-01-01T23:45:00+05:30
2026-01-01,North,product_query,0,6,678,cust6985@example.com,product query issue reported,2026-01-01T23:45:00+05:30
2026-01-01,South,late_delivery,0,0,574,cust7907@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-01T23:45:00+05:30
2026-01-01,South,damaged_item,1,1,574,cust6842@example.com,damaged item issue reported,2026-01-01T23:45:00+05:30
2026-01-01,South,billing,0,0,574,cust326@example.com,billing issue reported,2026-01-01T23:45:00+05:30
2026-01-01,South,product_query,0,1,574,cust801@example.com,product query issue reported,2026-01-01T23:45:00+05:30
2026-01-01,East,late_delivery,4,4,395,cust555@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-01T23:45:00+05:30
2026-01-01,East,damaged_item,1,1,395,cust2736@example.com,damaged item issue reported,2026-01-01T23:45:00+05:30
2026-01-01,East,billing,1,1,395,cust6072@example.com,billing issue reported,2026-01-01T23:45:00+05:30
2026-01-01,East,product_query,0,2,395,cust7192@example.com,product query issue reported,2026-01-01T23:45:00+05:30
2026-01-01,West,late_delivery,1,1,521,cust9276@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-01T23:45:00+05:30
2026-01-01,West,damaged_item,0,0,521,cust6390@example.com,damaged item issue reported,2026-01-01T23:45:00+05:30
2026-01-01,West,billing,1,1,521,cust9249@example.com,billing issue reported,2026-01-01T23:45:00+05:30
2026-01-01,West,product_query,0,1,521,cust6500@example.com,product query issue reported,2026-01-01T23:45:00+05:30
2026-01-02,North,late_delivery,5,5,556,cust3973@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-02T23:45:00+05:30
2026-01-02,North,damaged_item,0,0,556,cust7410@example.com,damaged item issue reported,2026-01-02T23:45:00+05:30
2026-01-02,North,billing,0,0,556,cust299@example.com,billing issue reported,2026-01-02T23:45:00+05:30
2026-01-02,North,product_query,0,2,556,cust6755@example.com,product query issue reported,2026-01-02T23:45:00+05:30
2026-01-02,South,late_delivery,3,3,471,cust4416@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-02T23:45:00+05:30
2026-01-02,South,damaged_item,2,2,471,cust1656@example.com,damaged item issue reported,2026-01-02T23:45:00+05:30
2026-01-02,South,billing,0,0,471,cust5413@example.com,billing issue reported,2026-01-02T23:45:00+05:30
2026-01-02,South,product_query,0,5,471,cust9504@example.com,product query issue reported,2026-01-02T23:45:00+05:30
2026-01-02,East,late_delivery,2,2,324,cust7696@example.com,Order dispatched late from the North hub; no update for three days.,2026-01-02T23:45:00+05:30
2026-01-02,East,damaged_item,0,0,324,cust6198@example.com,damaged item issue reported,2026-01-02T23:45:00+05:30
2026-01-02,East,billing,1,1,324,cust2760@example.com,billing issue reported,2026-01-02T23:45:00+05:30
2026-01-02,East,product_query,0,1,324,cust2386@example.com,product query issue reported,2026-01-02T23:45:00+05:30
